date,close,volume,source
2024-11-29,104.5,45048.0,stock_zh_a_hist_tx
2024-12-02,106.51,55164.0,stock_zh_a_hist_tx
2024-12-03,106.73,43065.0,stock_zh_a_hist_tx
2024-12-04,105.18,34386.0,stock_zh_a_hist_tx
2024-12-05,103.45,39585.0,stock_zh_a_hist_tx
2024-12-06,105.53,41151.0,stock_zh_a_hist_tx
2024-12-09,104.43,39469.0,stock_zh_a_hist_tx
2024-12-10,105.58,61329.0,stock_zh_a_hist_tx
2024-12-11,104.68,42075.0,stock_zh_a_hist_tx
2024-12-12,105.15,44574.0,stock_zh_a_hist_tx
2024-12-13,101.88,64063.0,stock_zh_a_hist_tx
2024-12-16,100.96,44700.0,stock_zh_a_hist_tx
2024-12-17,99.97,28601.0,stock_zh_a_hist_tx
2024-12-18,99.83,29920.0,stock_zh_a_hist_tx
2024-12-19,99.26,35441.0,stock_zh_a_hist_tx
2024-12-20,98.28,43156.0,stock_zh_a_hist_tx
2024-12-23,97.03,42526.0,stock_zh_a_hist_tx
2024-12-24,97.87,29930.0,stock_zh_a_hist_tx
2024-12-25,97.94,27367.0,stock_zh_a_hist_tx
2024-12-26,97.48,22224.0,stock_zh_a_hist_tx
2024-12-27,98.59,38321.0,stock_zh_a_hist_tx
2024-12-30,99.09,36478.0,stock_zh_a_hist_tx
2024-12-31,96.72,38053.0,stock_zh_a_hist_tx
2025-01-02,94.47,46777.0,stock_zh_a_hist_tx
2025-01-03,92.39,42203.0,stock_zh_a_hist_tx
2025-01-06,93.42,36600.0,stock_zh_a_hist_tx
2025-01-07,92.72,32481.0,stock_zh_a_hist_tx
2025-01-08,91.71,31694.0,stock_zh_a_hist_tx
2025-01-09,91.0,21865.0,stock_zh_a_hist_tx
2025-01-10,89.21,29229.0,stock_zh_a_hist_tx
2025-01-13,89.98,22967.0,stock_zh_a_hist_tx
2025-01-14,91.97,38429.0,stock_zh_a_hist_tx
2025-01-15,91.37,21178.0,stock_zh_a_hist_tx
2025-01-16,90.69,28147.0,stock_zh_a_hist_tx
2025-01-17,90.73,23706.0,stock_zh_a_hist_tx
2025-01-20,91.97,38095.0,stock_zh_a_hist_tx
2025-01-21,90.98,25739.0,stock_zh_a_hist_tx
2025-01-22,90.21,20574.0,stock_zh_a_hist_tx
2025-01-23,90.34,23925.0,stock_zh_a_hist_tx
2025-01-24,90.4,23354.0,stock_zh_a_hist_tx
2025-01-27,90.25,27686.0,stock_zh_a_hist_tx
2025-02-05,90.46,24457.0,stock_zh_a_hist_tx
2025-02-06,92.46,39827.0,stock_zh_a_hist_tx
2025-02-07,93.79,50346.0,stock_zh_a_hist_tx
2025-02-10,94.18,37142.0,stock_zh_a_hist_tx
2025-02-11,92.96,33900.0,stock_zh_a_hist_tx
2025-02-12,93.27,34180.0,stock_zh_a_hist_tx
2025-02-13,93.89,45645.0,stock_zh_a_hist_tx
2025-02-14,94.84,44174.0,stock_zh_a_hist_tx
2025-02-17,94.03,51290.0,stock_zh_a_hist_tx
2025-02-18,92.42,39612.0,stock_zh_a_hist_tx
2025-02-19,93.05,35091.0,stock_zh_a_hist_tx
2025-02-20,95.09,63856.0,stock_zh_a_hist_tx
2025-02-21,95.13,58747.0,stock_zh_a_hist_tx
2025-02-24,95.86,57957.0,stock_zh_a_hist_tx
2025-02-25,94.23,41421.0,stock_zh_a_hist_tx
2025-02-26,95.06,49807.0,stock_zh_a_hist_tx
2025-02-27,95.28,52313.0,stock_zh_a_hist_tx
2025-02-28,92.26,62546.0,stock_zh_a_hist_tx
2025-03-03,92.87,42291.0,stock_zh_a_hist_tx
2025-03-04,94.08,43233.0,stock_zh_a_hist_tx
2025-03-05,93.28,28652.0,stock_zh_a_hist_tx
2025-03-06,94.21,40460.0,stock_zh_a_hist_tx
2025-03-07,93.33,34341.0,stock_zh_a_hist_tx
2025-03-10,93.72,31865.0,stock_zh_a_hist_tx
2025-03-11,96.42,89062.0,stock_zh_a_hist_tx
